workerid,proliferate.condition,error
158,condition1,
156,condition1,
221,condition1,
163,condition1,
239,condition1,
289,condition1,
253,condition1,
230,condition1,
272,condition1,
275,condition1,
247,condition1,
285,condition1,
283,condition1,
248,condition1,
290,condition1,
172,condition1,
236,condition1,
167,condition1,
194,condition1,
241,condition1,
266,condition1,
174,condition1,
240,condition1,
222,condition1,
198,condition1,
274,condition1,
180,condition1,
168,condition1,
152,condition1,
214,condition1,
159,condition1,
233,condition1,
166,condition1,
182,condition1,
217,condition1,
269,condition1,
191,condition1,
268,condition1,
218,condition1,
169,condition1,
280,condition1,
190,condition1,
219,condition1,
202,condition1,
189,condition1,
179,condition1,
206,condition1,
262,condition1,
249,condition1,
232,condition1,
261,condition1,
162,condition1,
252,condition1,
176,condition1,
243,condition1,
237,condition1,
208,condition1,
173,condition1,
281,condition1,
271,condition1,
258,condition1,
231,condition1,
154,condition1,
