name,id
white_belt,1
white_flower,2
blue_flower,3
black_tie,1
black_luggage,2
orange_luggage,3
yellow_pencil,1
yellow_calculator,2
red_calculator,3
blue_butterfly,1
blue_iron,2
yellow_iron,3
purple_bowl,1
purple_basket,2
orange_basket,3
purple_binoculars,1
purple_necklace,2
green_binoculars,3
white_fence,1
white_dress,2
yellow_dress,3
white_mask,1
white_pencil,2
blue_mask,3
green_robot,1
green_calendar,2
purple_robot,3
orange_helicopter,1
orange_hammer,2
black_helicopter,3
blue_guitar,1
blue_book,2
white_guitar,3
orange_knife,1
orange_truck,2
green_knife,3
red_crown,1
red_cushion,2
yellow_crown,3
black_necklace,1
black_fork,2
purple_necklace,3
red_scarf,1
red_wallet,2
blue_wallet,3
green_truck,1
green_bowl,2
orange_bowl,3
purple_lock,1
purple_binoculars,2
black_binoculars,3
white_calculator,1
white_bed,2
red_bed,3
blue_door,1
blue_ring,2
yellow_door,3
black_die,1
black_robot,2
purple_die,3
purple_fork,1
purple_lock,2
black_lock,3
green_drum,1
green_slipper,2
purple_drum,3
blue_phone,1
blue_fence,2
red_fence,3
green_basket,1
green_knife,2
black_basket,3
yellow_comb,1
yellow_phone,2
blue_comb,3
blue_chair,1
blue_crown,2
red_crown,3
black_slipper,1
black_glove,2
green_slipper,3
yellow_bed,1
yellow_mask,2
white_bed,3
yellow_ring,1
yellow_butterfly,2
white_ring,3
orange_hammer,1
orange_sock,2
green_sock,3
black_calendar,1
black_shell,2
purple_shell,3
green_fish,1
green_helicopter,2
purple_fish,3
blue_book,1
blue_belt,2
yellow_belt,3
green_ribbon,1
green_tie,2
purple_ribbon,3
white_wallet,1
white_mug,2
blue_wallet,3
purple_screwdriver,1
purple_drum,2
orange_drum,3
white_iron,1
white_door,2
yellow_door,3
red_candle,1
red_scarf,2
yellow_scarf,3
red_flower,1
red_guitar,2
yellow_flower,3
orange_shell,1
orange_die,2
green_die,3
blue_dress,1
blue_comb,2
yellow_dress,3
black_sock,1
black_fish,2
green_fish,3
blue_mug,1
blue_candle,2
yellow_mug,3
white_balloon,1
white_chair,2
yellow_chair,3
green_microscope,1
green_ribbon,2
purple_microscope,3
purple_glove,1
purple_screwdriver,2
orange_screwdriver,3
black_luggage,1
black_microscope,2
green_microscope,3
blue_cushion,1
blue_balloon,2
red_cushion,3
yellow_comb,1
yellow_phone,2
white_comb,3
white_iron,1
white_door,2
blue_iron,3
yellow_guitar,1
yellow_book,2
red_book,3
yellow_ring,1
yellow_butterfly,2
blue_ring,3
purple_necklace,1
purple_binoculars,2
orange_necklace,3
yellow_chair,1
yellow_crown,2
white_chair,3
purple_glove,1
purple_slipper,2
black_slipper,3
yellow_cushion,1
yellow_balloon,2
white_cushion,3
orange_robot,1
orange_die,2
green_die,3
white_pencil,1
white_calculator,2
yellow_pencil,3
red_balloon,1
red_chair,2
blue_chair,3
green_slipper,1
green_drum,2
orange_slipper,3
blue_dress,1
blue_comb,2
white_comb,3
black_knife,1
black_basket,2
orange_basket,3
purple_die,1
purple_shell,2
black_die,3
yellow_crown,1
yellow_cushion,2
blue_cushion,3
green_basket,1
green_bowl,2
black_basket,3
orange_fish,1
orange_sock,2
purple_fish,3
orange_binoculars,1
orange_lock,2
purple_lock,3
green_fork,1
green_necklace,2
black_necklace,3
orange_drum,1
orange_screwdriver,2
black_screwdriver,3
black_tie,1
black_ribbon,2
purple_ribbon,3
yellow_candle,1
yellow_scarf,2
red_candle,3
blue_scarf,1
blue_wallet,2
red_wallet,3
yellow_belt,1
yellow_flower,2
red_flower,3
blue_calculator,1
blue_bed,2
red_bed,3
purple_ribbon,1
purple_microscope,2
black_ribbon,3
white_door,1
white_ring,2
blue_ring,3
red_mask,1
red_pencil,2
blue_pencil,3
yellow_flower,1
yellow_guitar,2
blue_flower,3
white_fence,1
white_dress,2
red_fence,3
green_shell,1
green_calendar,2
orange_calendar,3
purple_calendar,1
purple_robot,2
orange_calendar,3
orange_microscope,1
orange_luggage,2
purple_luggage,3
purple_screwdriver,1
purple_glove,2
orange_screwdriver,3
orange_lock,1
orange_fork,2
purple_lock,3
orange_bowl,1
orange_truck,2
purple_truck,3
red_butterfly,1
red_iron,2
blue_iron,3
blue_wallet,1
blue_mug,2
red_wallet,3
red_book,1
red_belt,2
white_book,3
white_bed,1
white_mask,2
red_bed,3
green_hammer,1
green_helicopter,2
orange_hammer,3
green_helicopter,1
green_fish,2
black_fish,3
purple_truck,1
purple_knife,2
green_truck,3
orange_luggage,1
orange_tie,2
purple_luggage,3
blue_phone,1
blue_fence,2
yellow_fence,3
yellow_mug,1
yellow_candle,2
white_candle,3
orange_sock,1
orange_hammer,2
purple_hammer,3
white_chair,1
white_crown,2
blue_chair,3
black_slipper,1
black_drum,2
green_drum,3
red_door,1
red_ring,2
blue_ring,3
green_tie,1
green_ribbon,2
purple_tie,3
red_balloon,1
red_chair,2
yellow_chair,3
blue_mask,1
blue_pencil,2
white_pencil,3
green_fork,1
green_necklace,2
purple_fork,3
white_ring,1
white_butterfly,2
blue_ring,3
purple_glove,1
purple_slipper,2
green_glove,3
red_flower,1
red_guitar,2
blue_flower,3
white_phone,1
white_fence,2
red_fence,3
yellow_butterfly,1
yellow_iron,2
red_iron,3
yellow_candle,1
yellow_scarf,2
blue_candle,3
purple_sock,1
purple_hammer,2
orange_sock,3
yellow_fence,1
yellow_dress,2
blue_fence,3
blue_pencil,1
blue_calculator,2
white_pencil,3
black_lock,1
black_binoculars,2
green_lock,3
purple_necklace,1
purple_binoculars,2
orange_binoculars,3
purple_basket,1
purple_bowl,2
green_bowl,3
red_cushion,1
red_balloon,2
yellow_cushion,3
green_helicopter,1
green_hammer,2
orange_hammer,3
black_calendar,1
black_shell,2
purple_calendar,3
blue_book,1
blue_belt,2
red_book,3
orange_fish,1
orange_sock,2
black_sock,3
yellow_calculator,1
yellow_bed,2
red_bed,3
green_robot,1
green_calendar,2
purple_calendar,3
green_screwdriver,1
green_drum,2
purple_screwdriver,3
purple_die,1
purple_shell,2
green_shell,3
red_wallet,1
red_mug,2
blue_wallet,3
orange_hammer,1
orange_sock,2
purple_hammer,3
black_bowl,1
black_truck,2
purple_bowl,3
orange_luggage,1
orange_microscope,2
green_luggage,3
red_dress,1
red_comb,2
white_comb,3
yellow_guitar,1
yellow_book,2
white_book,3
black_drum,1
black_slipper,2
purple_slipper,3
yellow_mug,1
yellow_candle,2
red_candle,3
green_microscope,1
green_ribbon,2
purple_ribbon,3
purple_truck,1
purple_bowl,2
black_truck,3
yellow_bed,1
yellow_mask,2
red_bed,3
black_knife,1
black_truck,2
green_truck,3
black_ribbon,1
black_microscope,2
green_microscope,3
purple_binoculars,1
purple_necklace,2
black_necklace,3
blue_crown,1
blue_cushion,2
white_cushion,3
blue_belt,1
blue_flower,2
white_flower,3
white_scarf,1
white_wallet,2
blue_wallet,3
purple_shell,1
purple_calendar,2
black_shell,3
yellow_comb,1
yellow_phone,2
red_comb,3
white_iron,1
white_door,2
blue_iron,3
