"","RedundantProperty","TrialType","Condition","Probability","ci.low","ci.high","YMin","YMax"
"1","color","control","both_necessary",0.97029702970297,0.0396039603960395,0.0297029702970297,0.930693069306931,1
"2","color","control","color_redundant",0.964285714285714,0.0714285714285714,0.0357142857142857,0.892857142857143,1
"3","color","control","noun_sufficient",0.833333333333333,0.25,0.166666666666667,0.583333333333333,1
"4","color","target","base",0.876190476190476,0.0761904761904761,0.0666666666666667,0.8,0.942857142857143
"5","color","target","diff_noun/diff_redundantvalue",0.895238095238095,0.0666666666666667,0.0571428571428571,0.828571428571429,0.952380952380952
"6","color","target","diff_noun/same_redundantvalue",0.892156862745098,0.0686274509803922,0.0490196078431372,0.823529411764706,0.941176470588235
"7","color","target","same_noun/diff_redundantvalue",0.925925925925926,0.0555555555555556,0.0462962962962963,0.87037037037037,0.972222222222222
"8","color","target","same_noun/same_redundantvalue",0.807692307692308,0.076923076923077,0.0673076923076923,0.730769230769231,0.875
"9","size","control","both_necessary",0.951923076923077,0.048076923076923,0.0384615384615385,0.903846153846154,0.990384615384615
"10","size","control","noun_sufficient",0.189655172413793,0.0862068965517241,0.103448275862069,0.103448275862069,0.293103448275862
"11","size","control","size_redundant",0.978723404255319,0.0319148936170213,0.0212765957446809,0.946808510638298,1
"12","size","target","base",0.349056603773585,0.0849056603773585,0.0943396226415095,0.264150943396226,0.443396226415094
"13","size","target","diff_noun/diff_redundantvalue",0.221153846153846,0.0769230769230769,0.0769230769230769,0.144230769230769,0.298076923076923
"14","size","target","diff_noun/same_redundantvalue",0.20952380952381,0.0761904761904762,0.0857142857142857,0.133333333333333,0.295238095238095
"15","size","target","same_noun/diff_redundantvalue",0.292452830188679,0.0849056603773585,0.0943396226415095,0.207547169811321,0.386792452830189
"16","size","target","same_noun/same_redundantvalue",0.211009174311927,0.073394495412844,0.073394495412844,0.137614678899083,0.284403669724771
