BDAColor,BDASize,condition,BDAOtherColor,BDAItem
color,size,color_basic_filler_1_f,othercolor,item
color,size,size_same_diff_f,othercolor,item
color,size,size_diff_same_m,othercolor,item
color,size,size_basic_filler_3_m,othercolor,item
color,size,color_same_diff_f,othercolor,item
color,size,color_diff_same_m,othercolor,item
color,size,size_basic_filler_1_f,othercolor,item
color,size,size_same_same_f,othercolor,item
color,size,size_diff_diff_f,othercolor,item
color,size,size_same_same_m,othercolor,item
color,size,color_basic_target_f,othercolor,item
color,size,color_diff_diff_f,othercolor,item
color,size,size_same_diff_m,othercolor,item
color,size,size_basic_target_m,othercolor,item
color,size,color_same_same_f,othercolor,item
color,size,size_diff_same_f,othercolor,item
color,size,size_basic_filler_3_f,othercolor,item
color,size,color_same_diff_m,othercolor,item
color,size,size_basic_target_f,othercolor,item
color,size,color_same_same_m,othercolor,item
color,size,size_basic_filler_1_m,othercolor,item
color,size,color_diff_diff_m,othercolor,item
color,size,color_basic_target_m,othercolor,item
color,size,color_basic_filler_1_m,othercolor,item
color,size,color_diff_same_f,othercolor,item
color,size,size_diff_diff_m,othercolor,item
color,size,color_basic_filler_2_f,othercolor,item
color,size,color_basic_filler_3_f,othercolor,item
color,size,color_basic_filler_3_m,othercolor,item
