Item,label,percent
airplane,may bay,0.8571428571428571
armchair,ghe,1
balloon,bong bong,0.9047619047619048
bandaid,bang ca nhan,0.2857142857142857
basket,gio,0.38095238095238093
bed,giuong,0.9047619047619048
belt,nit,0.9523809523809523
bench,ghe,0.47619047619047616
bike,xe dap,0.9523809523809523
billiardball,banh bida,0.14285714285714285
binder,bang,0.09523809523809523
binoculars,ong nhom,0.9047619047619048
bonbon,keo,1
book,sach,0.3333333333333333
boot,giay,0.5238095238095238
bowl,bat,0.5238095238095238
box,hop,0.42857142857142855
bracelet,tatng tay,0.47619047619047616
bucket,so,0.8095238095238095
butterfly,buom,0.7142857142857143
cake,banh,0.9523809523809523
calculator,may tinh,0.9047619047619048
calendar,cocch,0.7619047619047619
camera,may anh,0.42857142857142855
candle,nen,0.9047619047619048
cap,non,0.7619047619047619
chair,ghe,0.9523809523809523
clock,dong ho,0.9523809523809523
coathanger,moc,0.7619047619047619
comb,luoc,0.8095238095238095
crown,vuong mien,0.8095238095238095
cushion,goi,0.8095238095238095
die,xuc xac,0.7142857142857143
door,cua,0.7142857142857143
dress,vay,0.7142857142857143
dresser,tu,0.8095238095238095
drum,trong,0.9523809523809523
duck,vit do choi,0.38095238095238093
dustpan,xeng,0.23809523809523808
fence,hang rao,0.9047619047619048
fish,ca,0.9523809523809523
flower,hoa,0.9047619047619048
fork,nia,0.7142857142857143
frame,khung,0.8571428571428571
fryingpan,chao,0.8095238095238095
glove,gang tay,0.5714285714285714
guitar,ghi ta,0.8095238095238095
hammer,bua,1
helicopter,truc thang,0.42857142857142855
iron,ban la,0.5238095238095238
key,chia khoa,0.8571428571428571
knife,do,0.9047619047619048
ladle,muoi,0.38095238095238093
lamp,den,0.9523809523809523
lipstick,son,1
lock,khoa,0.9523809523809523
luggage,va coc,0.9523809523809523
magnifyingglass,kinh lup,0.6190476190476191
mask,khau trang,0.8095238095238095
microscope,kinh hien vi,0.7619047619047619
mouse,chuot,1
mug,coc,1
napkin,khan,0.9047619047619048
necklace,tatng co,0.3333333333333333
notebook,quyen so,0.23809523809523808
ornament,trang tri,0.7142857142857143
pencil,but chi,0.9047619047619048
phone,dien thoai,0.9523809523809523
piano,piano,0.9523809523809523
plate,dia,0.7619047619047619
present,hop qua,0.7142857142857143
purse,tui,0.7619047619047619
radio,radio,0.3333333333333333
razor,cao,0.9523809523809523
remote,dieu khien,0.7619047619047619
ribbon,no,0.7619047619047619
ring,nhan,0.8571428571428571
robot,ro bo,0.7142857142857143
rope,day,0.9047619047619048
rug,tham,0.8095238095238095
ruler,thuoc,0.9047619047619048
scarf,khan,0.8095238095238095
screwdriver,tua vit,0.38095238095238093
shell,so,0.9047619047619048
shield,khien,0.47619047619047616
shirt,ao,0.38095238095238093
shoe,giay,0.7142857142857143
shovel,xeng,0.8571428571428571
slipper,dep,0.8095238095238095
sock,tat,1
sponge,do lau bang,0.19047619047619047
spoon,muong,0.9047619047619048
stapler,dap ghim,0.23809523809523808
switch,cong tac,0.8571428571428571
sword,kiem,0.7619047619047619
table,ban,0.42857142857142855
tent,leu,0.7619047619047619
tie,ca vat,0.7619047619047619
truck,xe tai,0.7619047619047619
tv,ti vi,0.7619047619047619
umbrella,du,0.47619047619047616
vase,binh,0.8095238095238095
wallet,vi,0.42857142857142855
whistle,coi,0.7619047619047619
yarn,cuon len,0.42857142857142855
